Índice de Gini,2021,2022,2023,2024,2025
Receita Operacional,0.47307342939899066,0.44667164515071667,0.3663073028643944,0.3522206364271059,0.9209312680241688
Receita da Atividade Esportiva,0.45620523170766547,0.4288276071493322,0.351342108238069,0.35134837149725984,0.9192606939494821
Receita c/ Transmissão + Premiações,0.43514764986319143,0.39504496238204667,0.3933575550177788,0.3840116904463422,0.9112221056730592
Receita Comercial,0.5797267783606701,0.57169443546024,0.44732519355318834,0.49420827856738647,0.9272713146172171
Receita c/ Match-Day + Sócio-Torcedor,0.5041830230889366,0.513961649651312,0.4087439116779781,0.35714294925368706,0.9211314779948585
Custo da Atividade Esportiva,0.44235578325370395,0.779596920384757,0.36537526068684323,0.35816632903342005,0.915893634975987
Folha do Futebol,0.46400679379967347,0.6533802234064376,0.3386472239766818,0.37304888605758535,0.9213739804745946
Folha do Futebol + Compra de Jogadores,0.4679592699999586,0.7210389297978126,0.3792845426798006,0.3329778483535535,0.9117328235779476
Pontuação Série A,0.13159688412852955,0.15406976744186052,0.13042226487523978,0.1427815206929739,0.14913544668587897
,,,,,
Razão Max/Min,2021.0,2022.0,2023.0,2024.0,2025.0
Receita Operacional,14.821533390881267,13.34743714368284,20.364507242788168,18.128593517351966,14.986910003489676
Receita da Atividade Esportiva,12.403154673153887,12.680073546311192,16.47914835433148,17.06693568577783,12.634930664375137
Receita c/ Transmissão + Premiações,12.592507914175169,7.1363292819936675,12.68929721990216,8.09377899921479,6.948360488104165
Receita Comercial,62.5774343122102,47.50669063311365,24.15623363996709,37.376767766610335,28.242512783053325
Receita c/ Match-Day + Sócio-Torcedor,106.26523702031601,42.369268292682925,66.73615384615384,24.05561043065982,24.170785392696345
Custo da Atividade Esportiva,12.641402432499913,11.520508710618282,9.225022412590896,11.321048197195879,11.79771225216065
Folha do Futebol,16.032546180391094,16.802605160124486,14.21359204556424,16.316440736878693,19.51394912671434
Folha do Futebol + Compra de Jogadores,14.691995768688292,13.125714186478648,10.888571465010394,11.692617084452227,12.453023003608001
Pontuação Série A,5.6,3.6818181818181817,2.9166666666666665,2.6333333333333333,4.647058823529412
,,,,,
Concentração C5 (Top 5),2021.0,2022.0,2023.0,2024.0,2025.0
Receita Operacional,0.5538231840646648,0.5649159831452909,0.49011751903775336,0.4695742118002362,1.0
Receita da Atividade Esportiva,0.5434946265453195,0.5483624135336054,0.4776473597784751,0.48744607726428385,1.0
Receita c/ Transmissão + Premiações,0.5226250572124428,0.5117900434535506,0.534788941019948,0.5073328876231314,1.0
Receita Comercial,0.6757680546083278,0.6592351812178658,0.5577829315380063,0.6075262569988981,1.0
Receita c/ Match-Day + Sócio-Torcedor,0.6054025118859867,0.5819604427772656,0.5009144119049699,0.45576807229840466,1.0
Custo da Atividade Esportiva,0.5416917044583266,0.7369950096412595,0.4976441233071401,0.4546314312462336,1.0
Folha do Futebol,0.5617758743462673,0.66219048659292,0.45891904774838904,0.46340989111028436,1.0
Folha do Futebol + Compra de Jogadores,0.5529201221818654,0.715669187759365,0.4928521546657469,0.4512577212213534,1.0
Pontuação Série A,0.32716650438169426,0.34011627906976744,0.32053742802303264,0.34167468719923005,0.34197886647454373
,,,,,
Concentração C3 (Top 3),2021.0,2022.0,2023.0,2024.0,2025.0
Receita Operacional,0.3943017601397512,0.388412426991229,0.3390089096787561,0.33447577542664864,1.0
Receita da Atividade Esportiva,0.3886458793437315,0.4021916854267922,0.3279360365851526,0.33215312140946984,1.0
Receita c/ Transmissão + Premiações,0.3538328160548973,0.3694995386496137,0.3643361537201099,0.3588824415980478,1.0
Receita Comercial,0.5518753112518676,0.5176188965009595,0.43755522104181066,0.4984015447938241,1.0
Receita c/ Match-Day + Sócio-Torcedor,0.4149849770338564,0.4208812748356063,0.3671431824398543,0.3182650249651053,1.0
Custo da Atividade Esportiva,0.3627864905350612,0.5225725608963927,0.3228703671924679,0.2900293307301106,1.0
Folha do Futebol,0.38602801382806656,0.4549455988126668,0.31943903016595804,0.31616754550234966,1.0
Folha do Futebol + Compra de Jogadores,0.40915367501413374,0.5015455539058871,0.3393736266997047,0.3057660111947232,1.0
Pontuação Série A,0.21518987341772153,0.21705426356589147,0.19577735124760076,0.2136669874879692,0.21613832853025935
