Ano,Nível de Transparência,Rubrica,Atlético GO,Atlético,Athletico,Bahia,Botafogo,Corinthians,Vitória,Cruzeiro,Cuiabá,Flamengo,Fluminense,Fortaleza,Grêmio,Criciúma,Internacional,Palmeiras,Juventude,São Paulo,Vasco,Sport,Santos,Red Bull Bragantino,Ceará,Mirassol,Média da Liga
2025,Nível 1 - Reportes Obrigatórios,"Publicou relatório da auditoria independente sobre o balanço anual?
Valor:
- Sim: 1 ponto
- Não: 0 ponto",,,,1,,,1,1,,1,,,1.0,,,1,1,,,,1,,,,
2025,Nível 1 - Reportes Obrigatórios,"Publicou Nota Explicativa com o valor das contingências cuja perda é ""possível""?
Valor:
- Sim: 1 ponto
- Não: 0 ponto",,,,1,,,1,0,,1,,,0.0,,,1,1,,,,1,,,,
2025,Nível 1 - Reportes Obrigatórios,"Detalhou receitas em, no mínimo, direitos de transmissão, patrocínios/marketing, bilheterias e transferências de atletas?
Valor:
- Sim: 1 ponto
- Não: 0 ponto",,,,1,,,1,1,,1,,,1.0,,,1,1,,,,1,,,,
2025,Nível 1 - Reportes Obrigatórios,"Detalhou despesas em, no mínimo, folha de pessoal, direitos de imagem e administrativas?
Valor:
- Sim: 1 ponto
- Não: 0 ponto",,,,1,,,1,1,,1,,,1.0,,,1,0,,,,1,,,,
2025,Nível 1 - Reportes Obrigatórios,"Detalhou o resultado financeiro em, no mínimo, juros sobre dívidas e variação cambial?
Valor:
- Sim: 1 ponto
- Não: 0 ponto",,,,1,,,1,1,,1,,,1.0,,,1,1,,,,0,,,,
2025,Nível 1 - Reportes Obrigatórios,"Detalhou, no intangível, os valores destinados à aquisição e formação de atletas, assim como atletas formados?
Valor:
- Sim: 1 ponto
- Não: 0 ponto",,,,1,,,0,0,,1,,,1.0,,,1,1,,,,1,,,,
2025,Nível 1 - Reportes Obrigatórios,"Publicou todas as Demonstrações Financeiras obrigatórias (BP, DRE, DRA, DMPL, DFC) e Notas explicativas até 30 de abril?
Valor:
- Sim para todas as DFs e no prazo: 1 ponto
- Qualquer descumprimento: 0 ponto",,,,1,,,1,1,,1,,,1.0,,,1,1,,,,1,,,,
2025,Nível 2 - Reportes Discricionários,"Individualizou as receitas e despesas de acordo com linhas de negócio, entre futebol e clube social?
Valor:
- Sim ou SAF: 1 ponto
- Não: 0 ponto",,,,1,,,1,1,,1,,,0.0,,,1,0,,,,1,,,,
2025,Nível 2 - Reportes Discricionários,"Detalhou dividas com instituições financeiras, no mínimo, em taxas de juros, prazos para pagamento e garantias oferecidas?
Valor:
- Sim ou Não há dívidas com instituições financeiras: 1 ponto
- Não, 0 ponto",,,,1,,,1,1,,1,,,1.0,,,1,1,,,,1,,,,
2025,Nível 2 - Reportes Discricionários,"Detalhou contas a receber e a pagar para intermediários, no mínimo em valores e prazos para pagamento?
Valor:
- Sim, ou não há contas a receber nem a pagar com intermediários : 1 ponto
- Não: 0 ponto",,,,0,,,0,1,,1,,,0.0,,,1,0,,,,1,,,,
2025,Nível 2 - Reportes Discricionários,"Detalhou contas a receber e a pagar por transferências de atletas, no mínimo em valores e prazos para pagamento?
Valor:
- Sim, ou não há contas a receber e a pagar por transferências de atletas: 1 ponto
- Não: 0 ponto",,,,0,,,1,1,,1,,,1.0,,,1,0,,,,1,,,,
2025,Nível 2 - Reportes Discricionários,"Publicou demonstrações financeiras trimestrais no exercício anterior?
Valor:
- Sim: 1 ponto
- Não: 0 ponto",,,,0,,,0,0,,0,,,0.0,,,1,0,,,,0,,,,
2025,Nível 2 - Reportes Discricionários,"Publicou orçamento para o exercício seguinte?
Valor:
- Sim: 1 ponto
- Não: 0 ponto",,,,0,,,0,0,,0,,,0.0,,,1,0,,,,0,,,,
2025,Nível 2 - Reportes Discricionários,"Detalhou receitas de transmissão por competição disputada?
Valor:
- Sim: 1 ponto
- Não: 0 ponto",,,,0,,,0,1,,0,,,1.0,,,1,0,,,,0,,,,
2025,Nível 2 - Reportes Discricionários,"Individualizou a Receita de Premiação na DRE?
Detalhou a premiação por competição?
Valor:
- Sim para ambas: 1 ponto
- Sim para alguma: 0,5 ponto
- Não: 0 ponto",,,,0,,,0,0,,0,,,0.5,,,1,0,,,,0,,,,
2025,Nível 3 - Indicadores de Qualidade,"Auditoria externa fez ressalvas em relação ao balanço anual ou absteve-se de opinar?
Valor:
- Se ressalvou: -2 pontos
- Se absteve-se de opinar: - 1 ponto
- Se emitiu parecer positivo: 1 ponto",,,,1,,,1,-2,,1,,,1.0,,,1,1,,,,1,,,,
2025,Nível 3 - Indicadores de Qualidade,"Alterou o resultado líquido do ano anterior em reapresentação?
Valor:
- Sim: -1 ponto
- Não: 1 ponto",,,,-1,,,-1,1,,1,,,1.0,,,1,1,,,,1,,,,
2025,Nível 3 - Indicadores de Qualidade,"Incluiu relatório no balanço para facilitar entendimento do leigo?
Valor:
- Sim: 1 ponto
- Não: 0 ponto",,,,0,,,0,1,,1,,,0.0,,,1,1,,,,1,,,,
2025,Nível 3 - Indicadores de Qualidade,"Divulgação de KPIs:
Valor:
- No mínimo 2 KPIs: 1 ponto
- 1 KPI: 0,5 ponto
- 0 KPI: 0 ponto",,,,0,,,0,1,,1,,,0.0,,,1,0,,,,1,,,,
